"id","order","start.url","titulo","barra","club","pais","cancion"
"421","1648751141-4493","https://barrabrava.net/zamora/la-burra-brava/letra/que-te-pasa-guerrero/","""Que te pasa guerrero""","La Burra Brava"," Zamora","Venezuela","Que te pasa guerrero Todavía seguís esperando Que te pasa guerrero Que en la tribu están todos llorando Van pasando los años jugadores también dirigentes ...Pero no se dan cuenta que el problema lo tiene tu gente Que no alienta cuando el Truji va perdiendo ohoh Que no estabas cuando te mande al descenso ohoh Que no awantas cuando vez a un Zamorano Yo se que duele, yo se que es feo Pero a TU HINCHADA le faltan huevos"
"422","1648748795-3437","https://barrabrava.net/ldu/muerte-blanca/letra/liga-siempre-yo-te-seguire-no-te-deje/","""Liga siempre yo te seguiré, no te dejé""","Muerte Blanca"," LDU","Ecuador","Liga siempre yo te seguiré, (NO TE DEJÉ) No te dejé, (Y AHORA QUÉ) y ahora menos que te quiero más y más. Dale Liga, dale Liga Marihuana no me faltará, (TAMPOCO FE) tampoco fe, soy de la muerte que es de puro corazón, soy de muerte."
"423","1648750568-4240","https://barrabrava.net/liga-de-portoviejo/mafia-verde/letra/este-es-el-ano-capira/","""Este es el año capira""","Máfia Verde"," Liga de Portoviejo","Ecuador","Este es el año capira no le falles a tu geenntee la que te sigue alentando la que siempre esta presente tienes que salir campeon tienes que dejar la vida para que lloren los cholos los azules y la amarilla"
"424","1648752996-5349","https://barrabrava.net/deportes-temuco/los-devotos/letra/sentimiento-villero/","""Sentimiento villero""","Los Devotos"," Deportes Temuco","Chile","Soy del Pije y lo sigo a todos lados Donde juegues yo te vengo a alentar Con los bombos, las banderas y redoblantes Los Devotos caminando siempre van No me importan esos malos resultados, Porque al Pije yo lo quiero de verdad Y a pesar de que vengan malos momentos Esta hinchada nunca te va a abandonar Y ahora vooooy, de la mano de estos gloriosos colores La pasióoon, que llevo desde la cuna hasta el cajón Porque yooo, daría todo por llegar a dar la vuelta, La ilusióoon, de poder gritar al fin Pije campeón"
"425","1648753580-5631","https://barrabrava.net/los-andes/la-banda-descontrolada/letra/hay-que-alentar-hasta-la-muerte/","""Hay que alentar hasta la muerte!""","La Banda Descontrolada"," Los Andes","Argentina","hay que alentar hasta la muerte, por que yo a lomas lo quiero aunque no valla primero, lo llevo en el corazon, y no me importa lo que digan los putos de chacarita la puta que lo pario oh oh oh oh el que no salta es taladro,oh oh oh oh el que no salta es taladro"
"426","1648750245-4110","https://barrabrava.net/chacarita-juniors/la-famosa-banda-de-san-martin/letra/ser-de-boca-ser-de-river-es-cualquiera/","""Ser de boca ser de river es cualquiera""","La Famosa Banda de San Martin"," Chacarita Juniors","Argentina","Ser de boca ser de river es cualquiera ser de chaca no se puede explicar de pendejo me enseñaron a quererte y a seguirte donde vayas a jugar con el tiempo yo me fui volviendo loco, y ya nada nos puede separar Tus colores, estan en todas mis remeras sos la droga que ya no puedo dejar! Porque, van pasando los años no se dan los resultados, yo te sigo a donde vas porque a la banda funebrera no le importa una mierda si perdes o si ganas por eso vengo a alentar, la vuelta yo quiero dar"
"427","1648751495-4619","https://barrabrava.net/club-deportivo-olimpia/la-ultra-fiel/letra/no-te-da-verguenza/","""Â¿No Te Da Vergüenza?""","La Ultra Fiel"," Club Deportivo Olimpia","Honduras","Ohh, ¿No te da vergüenza? oh, oh, oh. Ohh, ¿No te da vergüenza? En un clásico, son 50."
"428","1648752695-5203","https://barrabrava.net/tigre/la-barra-del-matador/letra/el-calamar/","""El Calamar""","La Barra Del Matador"," Tigre","Argentina","El Calamar El Calamar Es un pescado Homosexual"
"429","1648750425-4190","https://barrabrava.net/millonarios/blue-rain/letra/yo-se-muy-bien-que-pasare-la-vida-entera/","""Yo se muy bien que pasare la vida entera""","Blue Rain"," Millonarios","Colombia","Yo se muy bien que pasare la vida entera siguiendo a Millos en las malas y en las buenas siempre aletando para que salgas campeón no como el verde ni los putos del león... yo no aba/ndono porque no soy provinciano Soy de la banda del Aguante Bogotano Yo Soy Blue Rain y no para de Altenrar y en el Nemesio te lo vamos a demostar!!! Dale Dale Camepon y Dale Campeón Dale Dale Campeón"
"430","1648752876-5292","https://barrabrava.net/cerro/los-villeros/letra/fumando-porro-tomando-vino/","""Fumando porro tomando vino""","Los Villeros"," Cerro","Uruguay","Fumando porro tomando vino El que no alienta al villero para que carajo vino No tengo un mango y voy igual De visitante o de local"
"431","1648751797-4768","https://barrabrava.net/coquimbo-unido/al-hueso-pirata/letra/en-el-puerto-de-coquimbo-hay-una-hinchada/","""En el puerto de Coquimbo hay una hinchada""","Al Hueso Pirata"," Coquimbo Unido","Chile","En el Puerto de Coquimbo hay una hinchada la que alienta en las buenas y en las malas la que deja la vida por los colores alentando con banderas y tambores de pequeño me enseñaron a quererte y a seguir al Aurinegro hasta la muerte jugadores y dirigentes van pasando pero AL HUESO siempre seguirá alentando vamos Aurinegro tienen que dejar la vida vamos los Piratas dame una alegría vamos Aurinegro tienen que dejar la vida vamos los Piratas dame una alegría LOS PIRATAS LOS PIRATAS LOS PIRATAS LOS PIRATAS"
"432","1648753065-5382","https://barrabrava.net/universidad-de-chile-la-u/los-de-abajo/letra/al-leon-yo-lo-quiero/","""Al león yo lo quiero""","Los de Abajo"," Universidad de Chile - La U","Chile","Al león Lo sigo a todas partes donde quiera que vaya a jugar Al león Es todo lo que quiero un sentimiento más que una pasión"
"433","1648752851-5280","https://barrabrava.net/quilmes/indios-kilmes/letra/cervecero-hoy-hay-que-ganar-que-esta-banda-quiere-festejar/","""Cervecero hoy hay que ganar que esta banda quiere festejar""","Indios Kilmes"," Quilmes","Argentina","Cervecero soy, nose lo que me pasa, cuando juega quilmes, No me importa nada, Es la azul y blanca, la que me conquisto, Yo daria la vida por salir campeon..."
"434","1648752814-5262","https://barrabrava.net/tigre/la-barra-del-matador/letra/porque-soy-del-matador/","""Porque soy del matador""","La Barra Del Matador"," Tigre","Argentina","porque soy del matador a primera voy a volver el hambre nunca mas a matar a todos estos putos de la B Por que tigre tiene huevos de la B me voy a ir vamo’ a quemar quilmes y san martin”"
"435","1648752853-5281","https://barrabrava.net/boca-juniors/la-12/letra/senores-yo-dejo-todo-me-voy-a-ver-a-boca/","""Señores yo dejo todo me voy a ver a Boca""","La 12"," Boca Juniors","Argentina","Señores yo dejo todo... me voy a ver a boca por q sus jugadores me van a demostrar que salen a ganar quieren salir campeon q lo llevan adentro como lo llevo yo..."
"436","1648751778-4759","https://barrabrava.net/tiburones-rojos-de-veracruz/guardia-roja/letra/matador/","""Matador""","Guardia Roja"," Tiburones Rojos de Veracruz","México","Señores yo tengo huevos yo tengo aguante yo sigo a los tiburones a todas partes el rojo es un sentimiento que se lleva en el corazon daria toda mi vida por ser campeon dale dale ro dale dale ro (x2)"
"437","1648752877-5293","https://barrabrava.net/deportes-la-serena/los-papayeros/letra/soy-papayero-y-yo-siempre-viajo-a-todos-lados-cancion-pasos-al-costado/","""Soy papayero y yo siempre viajo a todos lados (canción pasos al costado)""","Los Papayeros"," Deportes La Serena","Chile","Soy papayero y yo siempre viajo a todos lados (bien volado) Ganes o pierdas te prometo no voy abandonar (ni cagando) Ya todos saben que el granate tiene mucho aguante (mucho aguante) Y en la portada siempre ha sido el más popular Vamos serena hoy te venimos a ver Vamos serena hoy tienes que ganar Esta es tu hinchada la que siempre te alienta la vuelta quiere dar…(x2)"
"438","1648753262-5479","https://barrabrava.net/talleres/la-fiel/letra/desde-chiquito-yo-te-vengo-a-ver/","""Desde chiquito yo te vengo a ver""","La Fiel"," Talleres","Argentina","Desde chiquito yo te vengo a ver y me persigue la policía no se hasta cuando me van a correr no se dan cuenta que vos sos mi vida Vamos talleres, hay que poner mas huevo porque esta hinchada, quiere salir campeón de nuevo"
"439","1648751924-4826","https://barrabrava.net/club-atletico-estudiantes/la-barra-de-caseros/letra/en-el-barrio-de-caseros-hay-una-banda/","""En el barrio de Caseros hay una banda""","La Barra de Caseros"," Club Atlético Estudiantes","Argentina","En el barrio de Caseros hay una banda Que lo sigue a Estudiantes adonde va Que lo sigue aunque gane o aunque pierda A Estudiantes cada vez lo quiero mas Y ahora estoy, delirando por el faso y el alcohol Matador, yo te sigo de la cuna hasta el cajon"
"440","1648749090-3584","https://barrabrava.net/atlas/barra-51/letra/yo-te-quiero-la-akd/","""Yo te quiero la AKD""","Barra 51"," Atlas","México","Yo te quiero la AKD Yo te quiero eres mi vida siempre te voy a alentar aunque me siga la policía putos vayas a donde vayas Esta es tu hinchada la que te alienta y Vamo' AKD y Vamo' a ganar que la banda esta de fiesta. Vamos atlas, al frente pongan huevos, no soy amargo como los becerros. Vamos atlas que esta toda tu hinchada la que te sigue en las buenas y en las malas. Yo soy así y al atlas yo lo quiero. Y la legión me chupan bien los huevos, la verga."
"441","1648749507-3791","https://barrabrava.net/oriente-petrolero/los-de-siempre/letra/oriente-mi-buen-amigo/","""Oriente mi buen amigo""","Los de Siempre"," Oriente Petrolero","Bolívia","Oriente Mi Buen Amigo... Esta campaña volveremos a estar contigo.... Te alentaremos... de Corazón... esta tu hinchada que te quiere ver campeón... No me importa lo que digan.. lo que digan los demás Yo te sigo a todas partes...y cada ves.. te quiero mas...."
"442","1648748873-3476","https://barrabrava.net/internacional/guarda-popular/letra/seja-mais-guerreiro/","""Seja Mais Guerreiro""","Guarda Popular"," Internacional","Brasil","ôôôôôôôô Seja mais guerreiro (2x) Isso é INTER,não é gremio !!! ôôôôôôôô Seja mais guerreiro (2x) Isso é INTER,não é gremio !!!"
"443","1648753791-5730","https://barrabrava.net/vasco-da-gama/guerreiros-do-almirante/letra/nos-somos-da-barra-mais-louca/","""Nós Somos da Barra Mais Louca""","Guerreiros do Almirante"," Vasco da Gama","Brasil","Chora urubu imundo Chora pó de arroz também Chora cachorro viado Que nunca ganhou de ninguém Nós somos da barra mais louca Do clube que varre geral Amigo, eu sou vascaíno Eu sou bacalhau"
"444","1648748769-3424","https://barrabrava.net/deportes-temuco/los-devotos/letra/voy-siempre-con-temuco/","""Voy siempre con Temuco""","Los Devotos"," Deportes Temuco","Chile","Voy siempre con Temuco pa' todos lados... Porque en la sangre llevo el verde y el blanco... Aunque vayas perdiendo sigo alentando... Porque a pesar de todo te sigo amando... Soy Devoto..."
"445","1648748994-3536","https://barrabrava.net/desportiva-ferroviaria/grenamor/letra/a-primeira-vez-que-eu-te-vi-da-da-da-casaca/","""A primeira vez que eu te vi (Da Da Da - Casaca)""","Grenamor"," Desportiva Ferroviária","Brasil","A primeira vez que eu te vi Ó Desportiva minha vida O amor aconteceu (o amor aconteceu) O suor grená de suas glórias os conduzem a vitória Tiva do meu coração (do meu coração) Da, da, da, da Sempre te sigo para todo lado (ôôô) Vivendo esse amor descontrolado (ôôô) Asilo imundo tu foi rebaixado (ôôô) E vai morrer na Série B Ó Desportiva te sigo até morrer Preciso te ver Preciso dizer a verdade Tiva tu és meu amor Preciso te ver Preciso dizer a verdade Canto com a Grenamor"
"446","1648750724-4314","https://barrabrava.net/boca-juniors/la-12/letra/llora-riber-porque-descendio/","""Llora riber porque descendió""","La 12"," Boca Juniors","Argentina","Yo sigo al Xeneize por amor Boca Juniors me robaste el corazón Mucha gente nunca va a entender a Boca se lo lleva adentro de la piel Sos mi vida sos mi enfermedad sos la droga que yo no puedo dejar Porque nunca te abandonare Cuando me muera desde el cielo yo te alentaré, yo te alentaré Llora Riber porque descendió, sufre porque es cagón! Me pregunto qué sintió jugar, jugar todo el año en el Nacional, en el Nacional"
"447","1648752756-5233","https://barrabrava.net/independiente/la-barra-del-rojo/letra/pideme-la-luna-te-la-bajare/","""Pídeme la luna te la bajare""","La Barra del Rojo"," Independiente","Argentina","Yo paro en la banda  mas loca de todas  que sigue al rojo a donde va  La banda esta loca  lo corre a boca  y a los de racing  vamo a matar....  Pídeme la luna te la bajare  Pídeme un cincuenta para el papel  Pero no me pidas que no venga más  porque el INDEPENDIENTE es una enfermedad"
"448","1648753099-5399","https://barrabrava.net/cerro-porteno/la-plaza-y-comando/letra/cada-dia-te-quiero-mas/","""Cada dia te quiero mas""","La Plaza y Comando"," Cerro Porteño","Paraguay","Ole ole ole ole ole ole ola Ole ole ole Cada dia te quiero mas Yo soy de cerro Es un sentimiento No puedo parar"
"449","1648748797-3438","https://barrabrava.net/independiente-rivadavia/los-caudillos-del-parque/letra/la-banda-leprosa-ya-llego/","""La banda leprosa ya llego""","Los Caudillos del Parque"," Independiente Rivadavia","Argentina","Lobo, Chacarero y Bodegue, Los quiero ver, En un combate con la Lepra alguna vez, Pero sin correr! La banda leprosa ya llego, De corazon, Esta es tu hinchada se merece ser campeon, El ascenso!"
"450","1648750169-4072","https://barrabrava.net/estudiantes-de-la-plata/los-leales/letra/soy-de-la-plata-soy-pincharrata/","""Soy de La Plata, soy pincharrata""","Los Leales"," Estudiantes de La Plata","Argentina","Soy de La Plata, soy pincharrata lo sigo a todas partes a donde va la banda está loca, quiere dar la vuelta coger a los triperos una vez más pídeme la luna te la bajaré pideme un 50 para un papel pero no me pidas que no vuelva más porque cada día yo te quiero más soy de la plata, soy pincharrata y cada día yo te quiero más."
"451","1648749557-3816","https://barrabrava.net/flamengo/nacao-12/letra/manto-sagrado/","""Manto Sagrado""","Nação 12"," Flamengo","Brasil","Mengo Estou sempre contigo Somos uma nação Não importa onde esteja Sempre estarei contigo Com meu manto Sagrado E a bandeira na Mão O Maraca é nosso vai começar a festa Dale dale daleo Dale dale daleo Dale dale daleo Mengão do meu coração"
"452","1648748962-3520","https://barrabrava.net/bolivar/la-vieja-escuela/letra/es-la-hora-es-la-hora/","""Es la hora es la hora""","La Vieja Escuela"," Bolívar","Bolívia","Es la hora es la hora Es la hora de alentar Club bolivar vaya al frente Que tenemos que ganar Y vamos vamos la akd Ehhh ehhhh ehhh Y vamos laakd Eh ehh ehhh Y vamos vamos la akd Ehh ehh ehhh Vamos vamos la akdemia vamos vamos akd"
